artist_name,album_name,track_name,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,album_genres,album_type,album_popularity,release_date,release_date_precision
Dayglow,Fuzzybrain,Fair Game,262500.0,False,54.0,0.772,0.7,9.0,-7.699,1.0,0.0454,0.0505,0.0515,0.147,0.942,127.99,4.0,austindie; indie pop; modern rock,74.0,,album,81.0,2019-11-14,day
Dayglow,Fuzzybrain,False Direction,277200.0,False,57.0,0.68,0.584,11.0,-10.459,1.0,0.0617,0.0304,0.000945,0.106,0.77,149.976,4.0,austindie; indie pop; modern rock,74.0,,album,81.0,2019-11-14,day
Dayglow,Fuzzybrain,Fuzzybrain,219428.0,False,58.0,0.488,0.51,7.0,-8.367,1.0,0.026,0.0233,0.15,0.14300000000000002,0.368,104.959,4.0,austindie; indie pop; modern rock,74.0,,album,81.0,2019-11-14,day
Dayglow,Fuzzybrain,Hot Rod,204014.0,False,73.0,0.7070000000000001,0.767,7.0,-7.072,1.0,0.0323,0.0279,0.000295,0.16899999999999998,0.8320000000000001,139.985,4.0,austindie; indie pop; modern rock,74.0,,album,81.0,2019-11-14,day
Dayglow,Fuzzybrain,Junior Varsity,252400.0,False,53.0,0.263,0.521,8.0,-8.022,1.0,0.0465,0.0835,0.0474,0.0891,0.263,74.983,4.0,austindie; indie pop; modern rock,74.0,,album,81.0,2019-11-14,day
Dayglow,Fuzzybrain,Listerine,215555.0,False,63.0,0.6940000000000001,0.583,11.0,-11.549,1.0,0.0371,0.168,0.8190000000000001,0.329,0.897,134.999,4.0,austindie; indie pop; modern rock,74.0,,album,81.0,2019-11-14,day
Dayglow,Fuzzybrain,Nicknames,203727.0,False,54.0,0.752,0.531,0.0,-12.875,1.0,0.0369,0.0681,0.0048,0.293,0.892,110.018,4.0,austindie; indie pop; modern rock,74.0,,album,81.0,2019-11-14,day
Dayglow,Fuzzybrain,Run the World!!!,176250.0,False,60.0,0.706,0.631,0.0,-7.711,1.0,0.0553,0.158,0.000607,0.0374,0.424,160.064,4.0,austindie; indie pop; modern rock,74.0,,album,81.0,2019-11-14,day
Daze,Elevations,So Glad (feat. Cool Company),204333.0,False,13.0,0.731,0.813,5.0,-4.239,0.0,0.16399999999999998,0.244,0.0,0.32,0.792,108.982,4.0,new french touch,24.0,,single,14.0,2018-03-09,day
Daði Freyr,& Co.,Lag Sem Ég Gerði,96455.0,False,31.0,0.92,0.508,10.0,-11.012,0.0,0.271,0.0175,0.0981,0.113,0.334,127.022,4.0,icelandic pop,61.0,,album,45.0,2019-06-12,day
Daði Freyr,& Co.,Tilheyra,211580.0,False,25.0,0.446,0.337,6.0,-10.581,0.0,0.0477,0.197,0.000209,0.0838,0.385,79.964,5.0,icelandic pop,61.0,,album,45.0,2019-06-12,day
Daði Freyr,& Co.,Ímyndin,187802.0,False,26.0,0.8270000000000001,0.5529999999999999,7.0,-9.696,1.0,0.0502,0.00237,0.00117,0.119,0.45,115.004,4.0,icelandic pop,61.0,,album,45.0,2019-06-12,day
Daði Freyr,Think About Things,Think About Things,173385.0,False,68.0,0.871,0.341,3.0,-8.932,0.0,0.0576,0.0311,0.000124,0.0838,0.612,127.001,4.0,icelandic pop,61.0,,single,65.0,2020-04-09,day
Daði Freyr,Think About Things,Think About Things - Acoustic,182000.0,False,30.0,0.6459999999999999,0.0584,11.0,-17.132,0.0,0.0396,0.862,0.000193,0.118,0.509,100.205,4.0,icelandic pop,61.0,,single,27.0,2020-07-24,day
Dear and the Headlights,Drunk Like Bible Times,"I'm Not Crying. You're Not Crying, Are You?",176546.0,False,44.0,0.472,0.758,6.0,-5.731,1.0,0.0448,0.00343,0.0,0.0848,0.409,141.001,4.0,dreamo,44.0,,album,45.0,2008-09-30,day
Death Cab for Cutie,I Dreamt We Spoke Again,I Dreamt We Spoke Again - Louis the Child Remix,190399.0,False,54.0,0.653,0.496,0.0,-7.746,1.0,0.32299999999999995,0.0825,0.0041,0.0725,0.11,118.796,4.0,indie pop; indie rock; modern rock; pop rock; washington indie,70.0,,single,51.0,2019-05-22,day
Death Cab for Cutie,Kids in '99,Kids in '99,193400.0,False,40.0,0.698,0.947,11.0,-4.339,0.0,0.0345,0.342,0.197,0.076,0.69,108.012,4.0,indie pop; indie rock; modern rock; pop rock; washington indie,70.0,,single,37.0,2019-07-30,day
Death Cab for Cutie,Plans,I Will Follow You into the Dark,189186.0,False,65.0,0.517,0.206,5.0,-12.233,1.0,0.0421,0.924,0.0,0.118,0.489,80.40100000000002,4.0,indie pop; indie rock; modern rock; pop rock; washington indie,70.0,,album,67.0,2005-08-29,day
