artist_name,album_name,track_name,duration_ms,explicit,track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_genres,artist_popularity,album_genres,album_type,album_popularity,release_date,release_date_precision
.ihaveaface,Yawn [beattape],Waiting,77000.0,False,26.0,0.6779999999999999,0.281,1.0,-18.473,0.0,0.0486,0.727,0.0979,0.113,0.209,80.946,4.0,chillhop; focus beats; lo-fi beats,53.0,,single,24.0,2019-02-17,day
1takejay,Drip Walking,Drip Walking,153986.0,True,41.0,0.933,0.604,1.0,-10.609000000000002,1.0,0.468,0.0122,0.0,0.162,0.449,105.943,4.0,cali rap,58.0,,single,39.0,2019-06-07,day
3LAU,Down For Life,Down For Life,193888.0,False,42.0,0.609,0.845,5.0,-5.517,0.0,0.0537,0.0207,0.0,0.273,0.128,107.979,4.0,edm; electro house; electronic trap; electropop; mashup; pop dance; pop edm; progressive electro house; progressive house; tropical house,64.0,,single,39.0,2019-06-21,day
3rd Prototype,House,House,200639.0,False,29.0,0.677,0.984,11.0,-5.9860000000000015,0.0,0.0775,0.00575,0.411,0.0877,0.594,127.995,4.0,gaming edm,46.0,,single,27.0,2017-09-09,day
44 Ardent,Fading 22,Fading 22,163329.0,False,32.0,0.662,0.52,1.0,-9.405,0.0,0.0338,0.691,0.903,0.108,0.336,119.009,4.0,,21.0,,single,29.0,2018-11-14,day
4AM,City of Love (feat. Trove),City of Love,219618.0,False,20.0,0.532,0.5920000000000001,11.0,-7.652,0.0,0.045,0.03,8.34e-06,0.39,0.311,100.019,4.0,,22.0,,single,17.0,2017-09-01,day
5 Seconds of Summer,Easier,Easier,165767.0,False,63.0,0.564,0.747,5.0,-3.374,1.0,0.0584,0.0728,0.0,0.151,0.7170000000000001,97.878,4.0,boy band; dance pop; pop; post-teen pop,84.0,,single,61.0,2019-07-12,day
5 Seconds of Summer,Youngblood,Youngblood,203417.0,False,80.0,0.596,0.8540000000000001,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.274,4.0,boy band; dance pop; pop; post-teen pop,84.0,,album,83.0,2018-06-15,day
7 Minutes Dead,Monstercat Instinct Vol. 3,Without Chu,196730.0,False,14.0,0.6509999999999999,0.519,4.0,-6.013,0.0,0.134,0.308,0.0,0.123,0.732,207.881,4.0,electro house; gaming edm,37.0,,compilation,42.0,2019-05-14,day
88rising,Head In The Clouds,History,207307.0,True,64.0,0.5539999999999999,0.589,3.0,-8.163,0.0,0.231,0.613,0.000257,0.0982,0.414,74.982,4.0,asian american hip hop; pop,72.0,,album,74.0,2018-07-20,day
8d Music,Sonos,Sonos,148153.0,False,19.0,0.726,0.249,3.0,-14.132,0.0,0.0458,0.117,0.903,0.105,0.35,130.045,4.0,8d,24.0,,single,16.0,2019-04-22,day
90sFlav,Collection,Call me,126250.0,False,68.0,0.748,0.265,8.0,-12.074000000000002,0.0,0.229,0.952,0.917,0.0866,0.14,77.009,4.0,lo-fi beats,60.0,,album,67.0,2018-02-09,day
A D M B,Chillhop Essentials Fall 2016,Master of The Sun,210666.0,False,28.0,0.456,0.469,2.0,-9.939,1.0,0.0458,0.508,0.0155,0.113,0.13,88.914,4.0,,30.0,,compilation,53.0,2016-10-10,day
A L E X,Chillhop Essentials Winter 2018,I need to paint my walls,163500.0,False,58.0,0.779,0.28800000000000003,0.0,-11.875,1.0,0.0555,0.816,0.903,0.108,0.16399999999999998,134.99200000000002,4.0,chillhop; focus beats; lo-fi beats,63.0,,compilation,64.0,2018-12-12,day
A L E X,"Growing Up, Vol. 2",Proud of You,182869.0,False,58.0,0.82,0.281,8.0,-15.194,0.0,0.0802,0.8690000000000001,0.961,0.0925,0.62,104.988,4.0,chillhop; focus beats; lo-fi beats,63.0,,album,64.0,2018-06-18,day
